Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,260.109985,265.500000,256.839996,258.820007,258.820007,5245100
2018-11-26,260.549988,266.250000,253.800003,261.429993,261.429993,12498600
2018-11-27,259.239990,269.079987,256.140015,266.630005,266.630005,11149500
2018-11-28,271.980011,284.000000,263.339996,282.649994,282.649994,14801300
2018-11-29,282.320007,290.489990,275.500000,288.750000,288.750000,15431500
2018-11-30,288.000000,290.809998,283.059998,286.130005,286.130005,11860100
2018-12-03,293.190002,298.720001,284.579987,290.299988,290.299988,14117400
2018-12-04,288.130005,295.739990,274.720001,275.329987,275.329987,12800600
2018-12-06,268.329987,283.220001,267.140015,282.880005,282.880005,13074300
2018-12-07,282.480011,284.209991,263.380005,265.140015,265.140015,12466700
2018-12-10,264.190002,271.179993,260.609985,269.700012,269.700012,9605600
2018-12-11,274.079987,274.500000,262.760010,265.320007,265.320007,9843200
2018-12-12,267.660004,281.769989,266.480011,274.880005,274.880005,11456700
2018-12-13,277.640015,279.320007,271.850006,276.019989,276.019989,8379300
2018-12-14,271.809998,277.670013,265.000000,266.839996,266.839996,9915300
2018-12-17,266.510010,272.980011,261.079987,262.799988,262.799988,9634700
2018-12-18,263.299988,275.750000,263.290009,270.940002,270.940002,10350100
2018-12-19,269.959991,280.869995,263.769989,266.769989,266.769989,13788400
2018-12-20,264.640015,269.899994,251.880005,260.579987,260.579987,16792900
